id	lat	lon	title	description	icon	iconSize	iconOffset
1	56.8549398158	53.2188454829	Удмуртская Республика	г.Ижевск, пл. 50 лет Октября, д.15	/static/images/iks.png	18,32	-9,-32
36	55.021653	82.924894	Новосибирская область	город Новосибирск, Красный проспект, 18	/static/images/iks.png	18,32	-9,-32
81	55.7981550056	49.1049147025	Республика Татарстан	г.Казань, Кремль, 3	/static/images/iks.png	18,32	-9,-32
147	43.115437	131.883086	Приморский край	Приморский край, город Владивосток, Светланская, 22	/static/images/iks.png	18,32	-9,-32
186	48.459351	135.099315	Хабаровский край	г. Хабаровск, Волочаевская, 6	/static/images/iks.png	18,32	-9,-32
210	46.3072100817	44.2692187428	Республика Калмыкия	г.Элиста, пл. Ленина, Дом Правительства	/static/images/iks.png	18,32	-9,-32
225	59.930674	30.309571	Санкт-Петербург	Город Санкт-Петербург, Исаакиевская площадь, дом 6	/static/images/iks.png	18,32	-9,-32
256	58.5233189081	31.2682648189	Новгородская область	г. Великий Новгород, пл. Победы-Софийская, д.1	/static/images/iks.png	18,32	-9,-32
279	44.2247753191	42.0464659296	Карачаево-Черкесская Республика	г.Черкесск, Красноармейская, 54	/static/images/iks.png	18,32	-9,-32
292	61.789734	34.37699	Республика Карелия	г.Петрозаводск, Куйбышева, 5	/static/images/iks.png	18,32	-9,-32
312	51.768026	55.095662	Оренбургская область	г. Оренбург, 9 Января, 64	/static/images/iks.png	18,32	-9,-32
360	50.600486	36.598155	Белгородская область	г. Белгород, пл. Соборная, 4	/static/images/iks.png	18,32	-9,-32
383	54.322458	48.403815	Ульяновская область	г.Ульяновск, Радищева, 1	/static/images/iks.png	18,32	-9,-32
413	64.736655	177.477366	Чукотский  автономный округ	г.Анадырь, Тевлянто, 8	/static/images/iks.png	18,32	-9,-32
421	55.355188	86.089794	Кемеровская область	город Кемерово, Советский проспект, 58	/static/images/iks.png	18,32	-9,-32
469	54.193628	37.615452	Тульская область	г.Тула, пл.Ленина, 2	/static/images/iks.png	18,32	-9,-32
499	48.712709	44.503976	Волгоградская область	г.Волгоград, ул. Новороссийская, 15	/static/images/iks.png	18,32	-9,-32
546	51.8345903005	107.586104404	Республика Бурятия	г.Улан-Удэ, Республика Бурятия, Ленина, 54	/static/images/iks.png	18,32	-9,-32
572	54.709731	20.520333	Калининградская область	г. Калининград, Московский проспект, 95	/static/images/iks.png	18,32	-9,-32
597	56.999583	40.982464	Ивановская область	г.Иваново, Пушкина, 9	/static/images/iks.png	18,32	-9,-32
628	51.725798	36.187248	Курская область	г. Курск, ул. А. Невского, д. 7	/static/images/iks.png	18,32	-9,-32
664	58.603394	49.664115	Кировская область	г.Киров, К.Либкнехта, 69	/static/images/iks.png	18,32	-9,-32
713	52.6095040397	39.5981492288	Липецкая область	г. Липецк, Ленина-Соборная, 1	/static/images/iks.png	18,32	-9,-32
737	43.4777579745	43.5956478305	Кабардино-Балкарская Республика	Кабардино-Балкарская Республика, город Нальчик, пр. Ленина, 27	/static/images/iks.png	18,32	-9,-32
751	55.161039	61.399239	Челябинская область	г. Челябинск, Кирова, 114	/static/images/iks.png	18,32	-9,-32
803	52.7202571599	41.4427107386	Тамбовская  область	город Тамбов, Интернациональная, 53	/static/images/iks.png	18,32	-9,-32
836	50.2583744596	127.534807138	Амурская область	г.Благовещенск, ул.Ленина, 135	/static/images/iks.png	18,32	-9,-32
